Stock,Date,Close
PDR,2025-04-02,19.5
PLX,2025-04-02,40.2
POW,2025-04-02,12.8
PVT,2025-04-02,24.75
SHB,2025-04-02,12.55
STB,2025-04-02,39.25
SZC,2025-04-02,41.8
TCO,2025-04-02,12.05
TIP,2025-04-02,21.65
TTA,2025-04-02,11.7
TVT,2025-04-02,17.0
VMD,2025-04-02,16.8
VPB,2025-04-02,19.15
VTP,2025-04-02,134.4
ACB,2025-04-01,26.05
ADS,2025-04-01,9.35
AGR,2025-04-01,17.9
ANV,2025-04-01,16.5
BAF,2025-04-01,31.9
BID,2025-04-01,39.0
CII,2025-04-01,13.85
CKG,2025-04-01,18.9
CSM,2025-04-01,13.55
DPM,2025-04-01,35.15
DXG,2025-04-01,15.85
FPT,2025-04-01,120.5
GEX,2025-04-01,24.4
GVR,2025-04-01,31.85
HCM,2025-04-01,30.9
HHS,2025-04-01,10.45
HTL,2025-04-01,29.1
HVN,2025-04-01,29.35
IJC,2025-04-01,13.85
MBB,2025-04-01,24.6
NKG,2025-04-01,15.15
NTL,2025-04-01,16.5
OCB,2025-04-01,11.3
PDR,2025-04-01,19.45
PLX,2025-04-01,40.3
POW,2025-04-01,12.95
PVT,2025-04-01,24.8
SHB,2025-04-01,12.45
STB,2025-04-01,39.7
SZC,2025-04-01,41.45
TCO,2025-04-01,12.1
TIP,2025-04-01,21.6
TTA,2025-04-01,11.7
TVT,2025-04-01,16.9
VMD,2025-04-01,16.75
VPB,2025-04-01,19.15
VTP,2025-04-01,136.9
ACB,2025-03-31,26.0
ADS,2025-03-31,9.33
AGR,2025-03-31,17.8
ANV,2025-03-31,16.45
BAF,2025-03-31,31.8
BID,2025-03-31,38.75
CII,2025-03-31,13.7
CKG,2025-03-31,18.9
CSM,2025-03-31,13.5
DPM,2025-03-31,34.75
DXG,2025-03-31,15.8
FPT,2025-03-31,121.0
GEX,2025-03-31,23.5
GVR,2025-03-31,32.4
HCM,2025-03-31,30.6
HHS,2025-03-31,10.5
HTL,2025-03-31,29.55
HVN,2025-03-31,28.9
IJC,2025-03-31,13.85
MBB,2025-03-31,24.1
NKG,2025-03-31,15.0
NTL,2025-03-31,16.5
OCB,2025-03-31,11.15
PDR,2025-03-31,19.35
PLX,2025-03-31,39.55
POW,2025-03-31,12.8
PVT,2025-03-31,24.75
SHB,2025-03-31,12.45
STB,2025-03-31,38.3
SZC,2025-03-31,41.5
TCO,2025-03-31,11.5
TIP,2025-03-31,21.6
TTA,2025-03-31,11.75
TVT,2025-03-31,16.9
VMD,2025-03-31,16.8
VPB,2025-03-31,19.0
VTP,2025-03-31,138.8
ACB,2025-03-28,25.95
ADS,2025-03-28,9.59
AGR,2025-03-28,17.85
ANV,2025-03-28,16.4
BAF,2025-03-28,32.8
BID,2025-03-28,39.1
CII,2025-03-28,13.8
CKG,2025-03-28,19.25
CSM,2025-03-28,14.3
DPM,2025-03-28,35.35
DXG,2025-03-28,16.1
FPT,2025-03-28,124.0
GEX,2025-03-28,23.35
GVR,2025-03-28,34.8
HCM,2025-03-28,30.9
HHS,2025-03-28,10.3
HTL,2025-03-28,29.1
HVN,2025-03-28,28.8
IJC,2025-03-28,13.7
MBB,2025-03-28,23.9
NKG,2025-03-28,15.05
NTL,2025-03-28,16.55
OCB,2025-03-28,11.1
PDR,2025-03-28,19.3
PLX,2025-03-28,39.8
POW,2025-03-28,12.8
PVT,2025-03-28,25.15
SHB,2025-03-28,12.7
STB,2025-03-28,38.25
SZC,2025-03-28,41.85
TCO,2025-03-28,11.55
TIP,2025-03-28,21.85
TTA,2025-03-28,11.95
TVT,2025-03-28,17.0
VMD,2025-03-28,17.0
VPB,2025-03-28,19.25
VTP,2025-03-28,138.8
ACB,2025-03-27,26.0
ADS,2025-03-27,9.22
AGR,2025-03-27,17.8
ANV,2025-03-27,16.6
BAF,2025-03-27,33.1
BID,2025-03-27,39.1
CII,2025-03-27,13.95
CKG,2025-03-27,19.4
CSM,2025-03-27,14.5
DPM,2025-03-27,35.25
DXG,2025-03-27,16.4
FPT,2025-03-27,126.2
GEX,2025-03-27,23.3
GVR,2025-03-27,34.95
HCM,2025-03-27,30.6
HHS,2025-03-27,9.84
HTL,2025-03-27,29.05
HVN,2025-03-27,28.85
IJC,2025-03-27,13.95
MBB,2025-03-27,23.9
NKG,2025-03-27,15.25
NTL,2025-03-27,16.7
OCB,2025-03-27,11.2
PDR,2025-03-27,19.6
PLX,2025-03-27,40.95
POW,2025-03-27,12.85
PVT,2025-03-27,25.3
SHB,2025-03-27,12.7
STB,2025-03-27,38.25
SZC,2025-03-27,43.75
TCO,2025-03-27,11.55
TIP,2025-03-27,21.9
TTA,2025-03-27,12.35
TVT,2025-03-27,17.0
VPB,2025-03-27,19.25
VTP,2025-03-27,140.9
ACB,2025-03-26,26.15
ADS,2025-03-26,9.14
AGR,2025-03-26,18.0
ANV,2025-03-26,16.55
BAF,2025-03-26,33.15
BID,2025-03-26,39.55
CII,2025-03-26,14.0
CKG,2025-03-26,19.4
CSM,2025-03-26,14.8
DPM,2025-03-26,35.4
DXG,2025-03-26,16.5
FPT,2025-03-26,123.0
GEX,2025-03-26,23.1
GVR,2025-03-26,34.5
HCM,2025-03-26,31.2
HHS,2025-03-26,9.2
HVN,2025-03-26,29.2
IJC,2025-03-26,14.1
MBB,2025-03-26,24.0
NKG,2025-03-26,15.5
NTL,2025-03-26,16.45
OCB,2025-03-26,11.25
PDR,2025-03-26,19.8
PLX,2025-03-26,41.15
POW,2025-03-26,13.0
PVT,2025-03-26,25.5
SHB,2025-03-26,12.25
STB,2025-03-26,38.6
SZC,2025-03-26,44.1
TCO,2025-03-26,11.6
TIP,2025-03-26,22.0
TTA,2025-03-26,12.35
TVT,2025-03-26,17.3
VMD,2025-03-26,17.0
VPB,2025-03-26,19.35
VTP,2025-03-26,141.0
ACB,2025-03-25,26.3
ADS,2025-03-25,9.18
AGR,2025-03-25,18.3
ANV,2025-03-25,16.85
BAF,2025-03-25,33.35
BID,2025-03-25,39.7
CII,2025-03-25,14.0
CKG,2025-03-25,19.45
CSM,2025-03-25,15.0
DPM,2025-03-25,35.25
DXG,2025-03-25,16.55
FPT,2025-03-25,126.5
GEX,2025-03-25,23.45
GVR,2025-03-25,34.6
HCM,2025-03-25,31.85
HHS,2025-03-25,8.79
HTL,2025-03-25,29.15
HVN,2025-03-25,29.4
IJC,2025-03-25,13.95
MBB,2025-03-25,24.2
NKG,2025-03-25,15.5
NTL,2025-03-25,16.45
OCB,2025-03-25,11.2
PDR,2025-03-25,20.1
PLX,2025-03-25,40.95
POW,2025-03-25,13.05
PVT,2025-03-25,25.0
SHB,2025-03-25,12.4
STB,2025-03-25,38.65
SZC,2025-03-25,44.4
TCO,2025-03-25,11.7
TIP,2025-03-25,22.0
TTA,2025-03-25,12.7
TVT,2025-03-25,17.05
VMD,2025-03-25,17.0
VPB,2025-03-25,19.5
VTP,2025-03-25,142.0
ACB,2025-03-24,26.35
ADS,2025-03-24,9.19
AGR,2025-03-24,18.7
ANV,2025-03-24,16.6
BAF,2025-03-24,33.0
BID,2025-03-24,39.1
CII,2025-03-24,14.0
CKG,2025-03-24,19.95
CSM,2025-03-24,14.75
DPM,2025-03-24,35.2
DXG,2025-03-24,16.55
